method,bleu_score,rouge1_f,rouge2_f,rougeL_f,avg_retrieval_score,success_rate,avg_response_time,num_questions
vector,0.1367023228252421,0.5059967073276336,0.31629072587468127,0.3978204768424119,0.6445334330201149,1.0,1.1169703006744385,12
graph,0.07421973892500626,0.34785301388107914,0.19528556363061442,0.24103986637958222,4.916666666666667,0.6666666666666666,0.7639573812484741,12
baseline,0.0033616797219215397,0.13584210535539254,0.0308982855262451,0.08773125946094769,0.0,0.0,3.0073636372884116,12
